label,N,T,horizon,step,example,estimator,split,current_date,target_window_start,target_date,ewma_half_life,input_flag_loss,post_reconstruction_flag_loss,relative_frobenius,gaussian_nll_per_asset,gmv_long_short_variance,gmv_long_short_annualised_volatility,gmv_long_only_variance,gmv_long_only_annualised_volatility,flag_market_1_loss,flag_top_3_loss,flag_top_6_loss,flag_nested_loss,raw_min_eigenvalue,raw_max_eigenvalue,raw_condition_number,score_eigenvalue_floor,n_eigenvalues_floored,score_condition_number
sp500_full,357,357,42,14,328,Control - frozen Flag/QIS/EWMA,test,2019-11-08,2019-11-11,2020-01-10,inf,0.019273897360641248,0.02195456008315182,1.1518733702931927,-8.169471309892055,1.3723579996253657e-05,0.05880767092017776,1.1214456109466795e-05,0.05316053930864163,0.3304822100669551,0.46568517543447036,0.47956164686877983,0.42524301079006843,1.2013107116552366e-06,0.020487542917938795,17054.324679840618,2.0487542917938796e-10,0,17054.324679840618
sp500_full,357,357,42,14,328,Oracle 1 - future Flag,test,2019-11-08,2019-11-11,2020-01-10,inf,4.9343245538895844e-17,0.006753063843544929,1.1243360129715145,-8.195454099871391,1.1060797046826517e-05,0.05279508363285621,9.307506025552185e-06,0.04843027481275685,0.3095290953570191,0.44810923971378464,0.44897952551345605,0.40220595352808663,1.2031124529756454e-06,0.020436853720750225,16986.65296847686,2.0436853720750225e-10,0,16986.65296847686
sp500_full,357,357,42,14,328,Oracle 2 - future Flag and spectrum,test,2019-11-08,2019-11-11,2020-01-10,inf,4.9343245538895844e-17,0.006142221095036138,1.1497293993271993,-8.189606331106429,1.0514760003320746e-05,0.051475426378387854,9.403756152309849e-06,0.04868004262921389,0.3092933934014408,0.44699336630586967,0.4495046170340251,0.4019304589137785,8.942610123442976e-07,0.020996187316751052,23478.813262483316,2.0996187316751052e-10,0,23478.813262483316
sp500_full,357,357,42,14,328,Oracle 3 - future rolling correlation,test,2019-11-08,2019-11-11,2020-01-10,inf,2.9605947323337506e-16,0.02954238910646392,1.1312716125052529,-8.470070534063222,6.224592428644144e-06,0.03960552097900398,8.839851294522603e-06,0.04719790807037634,0.30844950836767815,0.4413160585370057,0.440057877561834,0.3966078148221726,9.364379230784139e-07,0.02097031947484355,22393.710205484247,2.097031947484355e-10,0,22393.710205484247
sp500_full,357,357,42,14,328,Oracle 4 - future correlation and scale,test,2019-11-08,2019-11-11,2020-01-10,inf,2.9605947323337506e-16,0.02954238910646392,0.6306943370791035,-8.920523520707857,5.935418970621978e-06,0.03867461157654642,7.895408075618225e-06,0.044605412620620295,0.2007245046375833,0.4349718641329616,0.338973746897625,0.32489003855605664,3.969331751302308e-07,0.010312168443497383,25979.60838147136,1.0312168443497383e-10,0,25979.60838147136
sp500_full,357,357,42,14,329,Control - frozen Flag/QIS/EWMA,test,2019-11-29,2019-12-02,2020-01-31,inf,0.02283022914663979,0.02380649495163793,0.7127253542483332,-7.807966475322439,0.00024213177181703254,0.24701661178530526,1.5402605929573754e-05,0.06230133782072891,0.15995107551224463,0.32121320017487215,0.5330624247489867,0.3380755668120345,4.895918856392039e-07,0.02052184932515797,41916.23661892384,2.052184932515797e-10,0,41916.23661892384
sp500_full,357,357,42,14,329,Oracle 1 - future Flag,test,2019-11-29,2019-12-02,2020-01-31,inf,7.648203058528856e-16,0.004568484661837124,0.6875787656427945,-7.848634046579483,0.00029959207630562653,0.2747675439876731,1.1889083680373587e-05,0.0547361771359139,0.1425638887280064,0.302700272820214,0.5094796892173487,0.31824795025518965,4.893034132837112e-07,0.020517838939786936,41932.75252688692,2.0517838939786935e-10,0,41932.75252688692
sp500_full,357,357,42,14,329,Oracle 2 - future Flag and spectrum,test,2019-11-29,2019-12-02,2020-01-31,inf,7.648203058528856e-16,0.015096544781611154,0.6946462203143986,-6.870921621240606,0.0012011711469634488,0.5501773614342825,1.1910724044673287e-05,0.0547859695474824,0.14217774862958665,0.30144625026102095,0.5071808129011494,0.31693493726391897,1.3348093528870568e-07,0.021021067662933653,157483.67073895028,2.1021067662933653e-10,0,157483.67073895028
sp500_full,357,357,42,14,329,Oracle 3 - future rolling correlation,test,2019-11-29,2019-12-02,2020-01-31,inf,1.3569392523196357e-15,0.02328541025091625,0.6796703975425512,-8.433131602639843,5.658568143432588e-06,0.037761874584625855,1.1892833787356384e-05,0.05474480901796817,0.14177140210590045,0.29376021848561207,0.49924209743578146,0.3115912393424313,1.2898002285980084e-07,0.021003149312365278,162840.32865458052,2.1003149312365277e-10,0,162840.32865458052
sp500_full,357,357,42,14,329,Oracle 4 - future correlation and scale,test,2019-11-29,2019-12-02,2020-01-31,inf,1.3569392523196357e-15,0.02328541025091625,0.5377800989004671,-8.701929654950801,1.5411650207546914e-05,0.06231962654173902,9.711458042954745e-06,0.04947006596745749,0.0934894405698875,0.2463725728992142,0.39854488627003004,0.24613563324637724,7.03300531467722e-08,0.012985147889815992,184631.5665753474,1.2985147889815993e-10,0,184631.5665753474
sp500_full,357,357,42,14,330,Control - frozen Flag/QIS/EWMA,test,2019-12-19,2019-12-20,2020-02-21,inf,0.02550190980457102,0.02365954013930771,0.6650870097511964,-7.891835998025753,3.442381477997418e-05,0.09313861349920072,1.694478795366183e-05,0.06534589936884166,0.1300853412604943,0.5496947187210317,0.593996564306777,0.42459220809610104,1.2279675493326902e-06,0.020640764777345923,16808.88455770892,2.0640764777345922e-10,0,16808.88455770892
sp500_full,357,357,42,14,330,Oracle 1 - future Flag,test,2019-12-19,2019-12-20,2020-02-21,inf,0.0,0.00418583638437194,0.6430110357921115,-7.92786913496565,2.6713011243083707e-05,0.0820468087938653,1.2851076347840401e-05,0.056907567507808496,0.11710274167999313,0.5321347278804067,0.5713954316651267,0.4068776337418422,1.2290122410841172e-06,0.020821704436252357,16941.820219695648,2.0821704436252357e-10,0,16941.820219695648
sp500_full,357,357,42,14,330,Oracle 2 - future Flag and spectrum,test,2019-12-19,2019-12-20,2020-02-21,inf,0.0,0.017158906169281913,0.6459419651100422,-7.88725248437075,4.354627271524755e-05,0.10475524198932663,1.2920681013898596e-05,0.05706147225144516,0.11698117838136624,0.5297943035546416,0.5704496296792061,0.40574170387173797,8.944341356209339e-07,0.021388387109804678,23912.75808694,2.1388387109804679e-10,0,23912.75808694
sp500_full,357,357,42,14,330,Oracle 3 - future rolling correlation,test,2019-12-19,2019-12-20,2020-02-21,inf,0.0,0.019499841197240082,0.6312125714860758,-8.339649726908885,4.128176451854153e-06,0.03225368918228187,1.2892624948775072e-05,0.05699948672656025,0.1159298339075604,0.5291577906518466,0.5567275689614016,0.40060506450693617,8.096201218590475e-07,0.021426824716073805,26465.281849558767,2.1426824716073805e-10,0,26465.281849558767
